Taxon,Family,Subfamily,Scientific Name,Genes,12S,16S,BDNF,CXCR4,cytb,H3A,NCX1,ND1,ND2,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Anura,Allophrynidae,Allophryninae,Allophryne relicta,2,KF582053,KF582053,,,,,,,,,,,,,
Anura,Allophrynidae,Allophryninae,Allophryne resplendens,2,JQ436697,JQ436698,,,,,,,,,,,,,
Anura,Allophrynidae,Allophryninae,Allophryne ruthveni,12,AY843564,AY843564,,KF534373,AY843786,,KF534112,AY819458,,AY819077,EU663432,AY844538,AY844766,KF534194,KC604076
Anura,Alsodidae,Alsodinae,Alsodes australis,1,,,,,EU022574,,,,,,,,,,
Anura,Alsodidae,Alsodinae,Alsodes barrioi,7,JX204154,JX204154,,,JX203941,,,JX204007,,,JX204063,JX204090,JX204225,,
Anura,Alsodidae,Alsodinae,Alsodes coppingeri,7,JX204160,JX204160,,,JX203948,,,JX204011,,,JX204066,JX204096,JX204232,,
Anura,Alsodidae,Alsodinae,Alsodes gargola,9,AY843565,AY843565,,,AY843787,DQ284118,,JX564852,JX564852,,AY844362,AY844539,AY844767,,
Anura,Alsodidae,Alsodinae,Alsodes hugoi,6,JX204169,JX204169,,,JX203956,,,,,,JX204070,JX204102,JX204237,,
Anura,Alsodidae,Alsodinae,Alsodes igneus,7,JX204172,JX204172,,,JX203958,,,JX204016,,,JX204072,JX204104,JX204240,,
Anura,Alsodidae,Alsodinae,Alsodes kaweshkari,1,,,,,EU022575,,,,,,,,,,
Anura,Alsodidae,Alsodinae,Alsodes montanus,0,,,,,,,,,,,,,,,
Anura,Alsodidae,Alsodinae,Alsodes monticola,2,AY143351,DQ864543,,,,,,,,,,,,,
Anura,Alsodidae,Alsodinae,Alsodes neuquensis,5,JX204173,JX204173,,,,,,JX204017,,,JX204073,JX204106,,,
Anura,Alsodidae,Alsodinae,Alsodes nodosus,6,DQ864525,DQ864544,,,JX203960,,,JX204018,,,,JX204107,JX204241,,
Anura,Alsodidae,Alsodinae,Alsodes norae,6,JX204175,JX204175,,,JX203961,,,,,,JX204074,JX204108,JX204242,,
Anura,Alsodidae,Alsodinae,Alsodes pehuenche,7,JX204176,JX204176,,,JX203962,,,JX204020,,,JX204076,JX204110,JX204244,,
Anura,Alsodidae,Alsodinae,Alsodes tumultuosus,7,DQ864527,DQ864546,,,JX203970,,,JX204025,,,JX204081,JX204118,JX204250,,
Anura,Alsodidae,Alsodinae,Alsodes valdiviensis,7,JX204188,JX204188,,,JX203972,,,JX204026,,,JX204082,JX204120,JX204252,,
