"","Taxon","Family","Subfamily","Clade","Constraint","Scientific.Name","Data","Genes","Length"
"Allophryne_relicta","Anura","Allophrynidae","Allophryninae","Allophryninae_1","Allophryne","Allophryne relicta",1,2,2297
"Allophryne_resplendens","Anura","Allophrynidae","Allophryninae","Allophryninae_2","Allophryne","Allophryne resplendens",1,2,1999
"Allophryne_ruthveni","Anura","Allophrynidae","Allophryninae","Allophryninae_3","Allophryne","Allophryne ruthveni",1,12,7032
"Alsodes_australis","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes australis",1,1,304
"Alsodes_barrioi","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes barrioi",1,7,4741
"Alsodes_coppingeri","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes coppingeri",1,7,4740
"Alsodes_gargola","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes gargola",1,9,6027
"Alsodes_hugoi","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes hugoi",1,6,4410
"Alsodes_igneus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes igneus",1,7,4740
"Alsodes_kaweshkari","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes kaweshkari",1,1,304
"Alsodes_montanus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes montanus",0,0,0
"Alsodes_monticola","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes monticola",1,2,1160
"Alsodes_neuquensis","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes neuquensis",1,5,3873
"Alsodes_nodosus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes nodosus",1,6,2865
"Alsodes_norae","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes norae",1,6,4412
"Alsodes_pehuenche","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes pehuenche",1,7,5335
"Alsodes_tumultuosus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes tumultuosus",1,7,3298
"Alsodes_valdiviensis","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes valdiviensis",1,7,4740
"Alsodes_vanzolinii","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes vanzolinii",1,6,3725
"Alsodes_verrucosus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes verrucosus",1,7,5358
"Alsodes_vittatus","Anura","Alsodidae","Alsodinae","Alsodinae","Alsodes","Alsodes vittatus",0,0,0
"Eupsophus_altor","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus altor",1,6,4185
"Eupsophus_calcaratus","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus calcaratus",1,12,8496
"Eupsophus_contulmoensis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus contulmoensis",1,6,4316
"Eupsophus_emiliopugini","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus emiliopugini",1,7,4844
"Eupsophus_insularis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus insularis",1,6,4318
"Eupsophus_migueli","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus migueli",1,6,4318
"Eupsophus_nahuelbutensis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus nahuelbutensis",1,7,4725
"Eupsophus_roseus","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus roseus",1,7,4862
"Eupsophus_septentrionalis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus septentrionalis",1,5,3383
"Eupsophus_vertebralis","Anura","Alsodidae","Alsodinae","Alsodinae","Eupsophus","Eupsophus vertebralis",1,6,4315
"Limnomedusa_macroglossa","Anura","Alsodidae","Alsodinae","Alsodinae","Limnomedusa","Limnomedusa macroglossa",1,9,5343
"Alytes_cisternasii","Anura","Alytidae","Alytinae","Alytinae_1","Alytes","Alytes cisternasii",1,3,1196
"Alytes_dickhilleni","Anura","Alytidae","Alytinae","Alytinae_2","Alytes","Alytes dickhilleni",1,9,4822
"Alytes_maurus","Anura","Alytidae","Alytinae","Alytinae_3","Alytes","Alytes maurus",1,4,1520
"Alytes_muletensis","Anura","Alytidae","Alytinae","Alytinae_4","Alytes","Alytes muletensis",1,7,4786
"Alytes_obstetricans","Anura","Alytidae","Alytinae","Alytinae_5","Alytes","Alytes obstetricans",1,14,10557
"Discoglossus_galganoi","Anura","Alytidae","Discoglossinae","Discoglossinae_1","Discoglossus","Discoglossus galganoi",1,10,7038
"Discoglossus_montalentii","Anura","Alytidae","Discoglossinae","Discoglossinae_2","Discoglossus","Discoglossus montalentii",1,9,5630
"Discoglossus_pictus","Anura","Alytidae","Discoglossinae","Discoglossinae_3","Discoglossus","Discoglossus pictus",1,13,8573
