"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Agamodon_anguliceps","","","","","","AY444013","","","","","","","","","","AY444040",""
"Agamodon_arabicus","","","","","","","","","","","","","","","","",""
"Agamodon_compressus","","","","","","","","","","","","","","","","",""
"Amphisbaena_absaberi","","","","","","","","","","","","","","","","",""
"Amphisbaena_acrobeles","","","","","","","","","","","","","","","","",""
"Amphisbaena_alba","EU203644","EU203644","","FJ441889","","FJ441766","","","","FJ441949","","","HQ426249","","","FJ441826",""
"Amphisbaena_albocingulata","","","","","","","","","","","","","","","","",""
"Amphisbaena_amazonica","","","","","","","","","","","","","","","","",""
"Amphisbaena_anaemariae","","FJ441668","","FJ441851","","FJ441728","","","","FJ441911","","","","","","FJ441788",""
"Amphisbaena_angustifrons","","FJ441707","","FJ441890","","FJ441767","","","","FJ441950","","","","","","FJ441827",""
"Amphisbaena_anomala","","FJ441713","","FJ441896","","FJ441773","","","","FJ441956","","","","","","FJ441833",""
"Amphisbaena_arda","","","","","","","","","","","","","","","","",""
"Amphisbaena_arenaria","","","","","","","","","","","","","","","","",""
"Amphisbaena_bahiana","","","","","","","","","","","","","","","","",""
"Amphisbaena_bakeri","EU203645","EU203645","","","","","","","","","","","","","","",""
"Amphisbaena_barbouri","EU203646","EU203646","","","","","","","","","","","","","","",""
"Amphisbaena_bassleri","","","","","","","","","","","","","","","","",""
"Amphisbaena_bedai","","","","","","","","","","","","","","","","",""
"Amphisbaena_bilabialatus","","","","","","","","","","","","","","","","",""
"Amphisbaena_bolivica","","FJ441670","","FJ441853","","FJ441730","","","","FJ441913","","","","","","FJ441789",""
"Amphisbaena_borelli","","","","","","","","","","","","","","","","",""
"Amphisbaena_brasiliana","","FJ441708","","FJ441891","","FJ441768","","","","FJ441951","","","","","","FJ441828",""
"Amphisbaena_brevis","","","","","","","","","","","","","","","","",""
"Amphisbaena_caeca","EU203647","EU203647","","FJ441854","","FJ441731","","","","FJ441914","","","","","","FJ441791",""
"Amphisbaena_caiari","","KJ669328","","KJ669330","","KJ669332","","","","KJ669333","","","","","","KJ669336",""
"Amphisbaena_camura","","FJ441672","","FJ441855","","FJ441732","","","","FJ441915","","","","","","AY444052",""
"Amphisbaena_carlgansi","EU203648","EU203648","","","","","","","","","","","","","","",""
"Amphisbaena_carli","","","","","","","","","","","","","","","","",""
"Amphisbaena_carvalhoi","","","","","","","","","","","","","","","","",""
"Amphisbaena_caudalis","","","","","","","","","","","","","","","","",""
"Amphisbaena_cayemite","","","","","","","","","","","","","","","","",""
"Amphisbaena_cegei","","","","","","","","","","","","","","","","",""
"Amphisbaena_cerradensis","","","","","","","","","","","","","","","","",""
"Amphisbaena_crisae","","","","","","","","","","","","","","","","",""
