Taxon,Species,Genes,12S,16S,AMEL,BDNF,BMP2,CMOS,COI,CYTB,ND1,ND2,ND4,NT3,PDC,PRLR,R35,RAG1,RAG2
Amphisbaenia,Agamodon anguliceps,2,,,,,,AY444013,,,,,,,,,,AY444040,
Amphisbaenia,Agamodon arabicus,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Agamodon compressus,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena absaberi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena acrobeles,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena alba,7,EU203644,EU203644,,FJ441889,,FJ441766,,,,FJ441949,,,HQ426249,,,FJ441826,
Amphisbaenia,Amphisbaena albocingulata,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena amazonica,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena anaemariae,5,,FJ441668,,FJ441851,,FJ441728,,,,FJ441911,,,,,,FJ441788,
Amphisbaenia,Amphisbaena angustifrons,5,,FJ441707,,FJ441890,,FJ441767,,,,FJ441950,,,,,,FJ441827,
Amphisbaenia,Amphisbaena anomala,5,,FJ441713,,FJ441896,,FJ441773,,,,FJ441956,,,,,,FJ441833,
Amphisbaenia,Amphisbaena arda,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena arenaria,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena bahiana,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena bakeri,2,EU203645,EU203645,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena barbouri,2,EU203646,EU203646,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena bassleri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena bedai,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena bilabialatus,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena bolivica,5,,FJ441670,,FJ441853,,FJ441730,,,,FJ441913,,,,,,FJ441789,
Amphisbaenia,Amphisbaena borelli,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena brasiliana,5,,FJ441708,,FJ441891,,FJ441768,,,,FJ441951,,,,,,FJ441828,
Amphisbaenia,Amphisbaena brevis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena caeca,6,EU203647,EU203647,,FJ441854,,FJ441731,,,,FJ441914,,,,,,FJ441791,
Amphisbaenia,Amphisbaena caiari,5,,KJ669328,,KJ669330,,KJ669332,,,,KJ669333,,,,,,KJ669336,
Amphisbaenia,Amphisbaena camura,5,,FJ441672,,FJ441855,,FJ441732,,,,FJ441915,,,,,,AY444052,
Amphisbaenia,Amphisbaena carlgansi,2,EU203648,EU203648,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena carli,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena carvalhoi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena caudalis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena cayemite,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena cegei,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena cerradensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena crisae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena cubana,9,EU203649,EU203649,EU203602,EU203609,,AY487346,,,,,,EU203626,,,DQ119615,AY487365,DQ119633
Amphisbaenia,Amphisbaena cuiabana,5,,FJ441696,,FJ441879,,FJ441756,,,,FJ441939,,,,,,FJ441816,
Amphisbaenia,Amphisbaena cunhai,5,,FJ441673,,FJ441856,,FJ441733,,,,FJ441916,,,,,,FJ441793,
Amphisbaenia,Amphisbaena darwini,5,,FJ441693,,FJ441876,,FJ441753,,,,FJ441936,,,,,,FJ441813,
Amphisbaenia,Amphisbaena dubia,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena fenestrata,2,EU203650,EU203650,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena frontalis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena fuliginosa,9,,FJ441683,,GU457876,GU457905,FJ441744,,,,FJ441927,,GU456032,,JN880804,HQ876352,GU457998,
Amphisbaenia,Amphisbaena gonavensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena gracilis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena hastata,5,,FJ441678,,FJ441861,,FJ441738,,,,FJ441921,,,,,,FJ441798,
Amphisbaenia,Amphisbaena heathi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena heterozonata,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena hiata,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena hogei,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena hyporissor,2,EU203651,EU203651,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena ibijara,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena ignatiana,5,,FJ441680,,FJ441863,,FJ441740,,,,FJ441923,,,,,,FJ441800,
Amphisbaenia,Amphisbaena infraorbitale,5,,FJ441723,,FJ441906,,FJ441783,,,,FJ441966,,,,,,FJ441843,
Amphisbaenia,Amphisbaena innocens,2,EU203652,EU203652,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena kingii,5,,FJ441726,,FJ441909,,FJ441786,,,,FJ441969,,,,,,FJ441846,
Amphisbaenia,Amphisbaena kisteumacheri,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena kraoh,5,,FJ441692,,FJ441875,,FJ441752,,,,FJ441935,,,,,,FJ441812,
Amphisbaenia,Amphisbaena leali,2,EU203653,EU203653,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena leeseri,5,,FJ441694,,FJ441877,,FJ441754,,,,FJ441937,,,,,,FJ441814,
Amphisbaenia,Amphisbaena leucocephala,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena littoralis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena lumbricalis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena manni,2,EU203654,EU203654,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena maranhensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena maximus,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena medemi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena mensae,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena mertensii,5,,FJ441674,,FJ441859,,FJ441736,,,,FJ441919,,,,,,FJ441795,
Amphisbaenia,Amphisbaena microcephalum,5,,FJ441718,,FJ441897,,FJ441778,,,,FJ441961,,,,,,FJ441838,
Amphisbaenia,Amphisbaena miringoera,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena mitchelli,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena munoai,5,,FJ441687,,FJ441870,,FJ441747,,,,FJ441930,,,,,,FJ441807,
Amphisbaenia,Amphisbaena myersi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena neglecta,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena nigricauda,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena occidentalis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena octostegum,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena pericensis,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena persephone,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena plumbea,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena polygrammica,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena polystegum,5,,FJ441721,,FJ441904,,FJ441781,,,,FJ441964,,,,,,FJ441841,
Amphisbaenia,Amphisbaena pretrei,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena prunicolor,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena ridleyi,0,,,,,,,,,,,,,,,,,
Amphisbaenia,Amphisbaena roberti,5,,FJ441711,,FJ441894,,FJ441771,,,,FJ441954,,,,,,FJ441831,
Amphisbaenia,Amphisbaena rozei,0,,,,,,,,,,,,,,,,,
