"","Taxon","Family","Subfamily","Clade","Tree.Genus","Constraint","Scientific.Name","Genes","Length"
"Amphisbaena_absaberi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena absaberi",NA,NA
"Amphisbaena_acrobeles","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena acrobeles",NA,NA
"Amphisbaena_alba","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena alba",7,5203
"Amphisbaena_albocingulata","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena albocingulata",NA,NA
"Amphisbaena_amazonica","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena amazonica",NA,NA
"Amphisbaena_anaemariae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena anaemariae",5,3135
"Amphisbaena_angustifrons","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena angustifrons",5,3139
"Amphisbaena_anomala","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena anomala",5,3136
"Amphisbaena_arda","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena arda",NA,NA
"Amphisbaena_arenaria","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena arenaria",NA,NA
"Amphisbaena_bahiana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bahiana",NA,NA
"Amphisbaena_bakeri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bakeri",2,2229
"Amphisbaena_barbouri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena barbouri",2,2218
"Amphisbaena_bassleri","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bassleri",NA,NA
"Amphisbaena_bedai","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bedai",NA,NA
"Amphisbaena_bilabialatus","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bilabialatus",NA,NA
"Amphisbaena_bolivica","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena bolivica",5,3101
"Amphisbaena_borelli","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena borelli",NA,NA
"Amphisbaena_brasiliana","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena brasiliana",5,3137
"Amphisbaena_brevis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena brevis",NA,NA
"Amphisbaena_caeca","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena caeca",6,4851
"Amphisbaena_caiari","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena caiari",5,2843
"Amphisbaena_camura","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena camura",5,3352
"Amphisbaena_carlgansi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena carlgansi",2,2194
"Amphisbaena_carli","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena carli",NA,NA
"Amphisbaena_carvalhoi","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena carvalhoi",NA,NA
"Amphisbaena_caudalis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena caudalis",NA,NA
"Amphisbaena_cayemite","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cayemite",NA,NA
"Amphisbaena_cegei","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cegei",NA,NA
"Amphisbaena_cerradensis","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena cerradensis",NA,NA
"Amphisbaena_crisae","Amphisbaenia","Amphisbaenidae","Amphisbaeninae","Amphisbaeninae","Amphisbaena","Amphisbaena","Amphisbaena crisae",NA,NA
