"","X12S","X16S","BDNF","CXCR4","cytb","H3A","NCX1","ND1","ND2","POMC","RAG1","RHOD","SIA","SLC8A3","TYR"
"1","KF582053","KF582053","","","","","","","","","","","","",""
"2","JQ436697","JQ436698","","","","","","","","","","","","",""
"3","AY843564","AY843564","","KF534373","AY843786","","KF534112","AY819458","","AY819077","EU663432","AY844538","AY844766","KF534194","KC604076"
"4","","","","","EU022574","","","","","","","","","",""
"5","JX204154","JX204154","","","JX203941","","","JX204007","","","JX204063","JX204090","JX204225","",""
"6","JX204160","JX204160","","","JX203948","","","JX204011","","","JX204066","JX204096","JX204232","",""
"7","AY843565","AY843565","","","AY843787","DQ284118","","JX564852","JX564852","","AY844362","AY844539","AY844767","",""
"8","JX204169","JX204169","","","JX203956","","","","","","JX204070","JX204102","JX204237","",""
"9","JX204172","JX204172","","","JX203958","","","JX204016","","","JX204072","JX204104","JX204240","",""
"10","","","","","EU022575","","","","","","","","","",""
"11","","","","","","","","","","","","","","",""
"12","AY143351","DQ864543","","","","","","","","","","","","",""
"13","JX204173","JX204173","","","","","","JX204017","","","JX204073","JX204106","","",""
"14","DQ864525","DQ864544","","","JX203960","","","JX204018","","","","JX204107","JX204241","",""
"15","JX204175","JX204175","","","JX203961","","","","","","JX204074","JX204108","JX204242","",""
"16","JX204176","JX204176","","","JX203962","","","JX204020","","","JX204076","JX204110","JX204244","",""
"17","DQ864527","DQ864546","","","JX203970","","","JX204025","","","JX204081","JX204118","JX204250","",""
"18","JX204188","JX204188","","","JX203972","","","JX204026","","","JX204082","JX204120","JX204252","",""
"19","JX204189","JX204189","","","EU022578","","","","","","JX204084","JX204121","JX204253","",""
"20","JX204192","JX204192","","","JX203976","","","JX204028","","","JX204086","JX204124","JX204256","",""
"21","","","","","","","","","","","","","","",""
"22","JX204195","JX204195","","","JX203980","","","JX204034","","","","JX204126","JX204259","",""
"23","AY143352","AY843587","","AY948793","JX203984","DQ284120","AY948837","JX204039","","","AY948936","AY844560","AY844786","AY948899","AY844036"
"24","JX204202","JX204202","","","JX203987","","","JX204041","","","","JX204134","JX204266","",""
"25","JX204204","JX204204","","","JX203988","","","JX204042","","","","JX204136","JX204268","","KC593366"
"26","JX204208","JX204208","","","JX203990","","","JX204045","","","","JX204138","JX204270","",""
"27","JX204210","JX204210","","","JX203992","","","JX204047","","","","JX204140","JX204272","",""
"28","JX204212","JX204212","","","JX203996","","","JX204050","","","JX204087","JX204144","JX204276","",""
"29","JX204216","JX204216","","","JX204000","","","JX204055","","KC604074","","JX204148","JX204280","",""
"30","JX204218","JX204218","","","JX204001","","","","","","","JX204149","JX204281","",""
"31","JX204220","JX204220","","","JX204004","","","JX204058","","","","JX204151","JX204284","",""
"32","AY843689","AY843689","","KC593347","AY843935","DQ284127","","","","","AY844471","AY844682","AY844891","","AY844128"
"33","GU086775","GU086779","","","AY442019","","","","","","","","","",""
"34","AY333672","AY333710","JQ073147","","AY442020","HM998945","","","","HM998961","DQ019494","AY341817","","","EF407506"
"35","AY333673","AY333711","","","AY442022","","","","","","","AY341816","","",""
"36","AY341621","AY341680","EF407510","","AY341728","","","","","","AY323755","AY323731","","","AY341747"
"37","DQ283112","DQ283112","JQ626687","AY364170","AY442023","DQ284158","JQ626831","AY523757","","JQ626759","AY583334","DQ283825","DQ282683","EF107345","DQ347130"
"38","DQ283243","AY236831","","","NC_006690","DQ284270","","NC_006690","NC_006690","HM998960","AY583338","DQ283915","DQ282770","",""
"39","DQ642141","AY333715","JQ626672","","AY347432","JQ626707","JQ626815","JQ626726","","JQ626743","JQ626761","","","",""
"40","JQ626643","JQ626661","JQ626680","AY364172","GU799101","DQ284412","JQ626823","AY523761","","JQ626751","AY364202","DQ284034","DQ282889","AY948858",""
"41","AY333675","AY333713","JQ626678","","AY347434","JQ626713","JQ626821","JQ626732","","JQ626749","AY323757","AY323733","","",""
"42","JQ626647","JQ626665","JQ626683","","DQ902148","JQ626719","JQ626827","JQ626737","DQ902268","JQ626755","JQ626773","","","",""
"43","KC867711","KC867710","","","KC867706","KC867709","","","","","KC867707","KC867708","","",""
"44","FJ151141","FJ151141","","","","","","","","","","","","",""
"45","JF836941","JF836995","","","","","","","","","","JF837043","","",""
"46","FJ151155","FJ151154","","","","","","","","","","","","",""
"47","","","","","","","","","","","","","","",""
"48","FJ151118","EF640990","","","","","","","","","","","","",""
"49","HM238196","FJ151053","","","","","","","","","","","","",""
"50","","","","","","","","","","","","","","",""
"51","FJ151107","FJ151107","","","","","","","","","","","","",""
"52","","","","","","","","","","","","","","",""
"53","","JN408732","","","","","","","","","","","","",""
"54","","","","","","","","","","","","","","",""
"55","FJ188697","FJ188697","","","","","","","","","","","","",""
"56","","JN408729","","","","","","","","","","","","",""
"57","FJ151101","FJ151101","","","","","","","","","","","","",""
"58","","","","","","","","","","","","","","",""
"59","FJ188699","FJ188700","","","","","","","","","","","","",""
"60","","EU350211","","","","","","","","","","","","",""
"61","","","","","","","","","","","","","","",""
"62","","","","","","","","","","","","","","",""
"63","","GU119909","","","","","","","","","","","","",""
"64","","","","","","","","","","","","","","",""
"65","","","","","","","","","","","","","","",""
"66","","","","","","","","","","","","","","",""
"67","","","","","","","","","","","","","","",""
"68","FJ151160","FJ151160","","","","","","","","","","","","",""
"69","","JN408734","","","","","","","","","","","","",""
"70","","","","","","","","","","","","","","",""
"71","HM238195","FJ151150","","","","","","","","","","","","",""
"72","FJ151139","FJ151139","","","","","","","","","","","","",""
"73","","","","","","","","","","","","","","",""
"74","FJ151114","FJ151119","","","JX564853","","","JX564853","","","","","","",""
"75","","","","","","","","","","","","","","",""
"76","FJ151161","FJ151161","","","","","","","","","","","","",""
"77","DQ347006","FJ151116","","","","DQ284264","","","","","DQ347238","DQ283910","","","DQ347140"
"78","","","","","","","","","","","","","","",""
"79","FJ151099","DQ022343","","","","","","","","","","","","",""
"80","","","","","","","","","","","","","","",""
"81","DQ022314","DQ022349","","","","DQ284131","","","","","","DQ283801","DQ282666","","DQ282912"
"82","DQ283232","DQ283232","","","","DQ284262","","","","","","DQ283907","","","DQ282954"
"83","DQ022308","FJ151056","KC180092","","","DQ284405","","","","","","DQ284028","","","DQ283020"
"84","","","","","","","","","","","","","","",""
"85","","","","","","","","","","","","","","",""
"86","DQ347003","FJ151091","AB612009","AY364180","AY341737","DQ284133","AY948817","AY948739","","","AY364210","AY322226","","AY948871","AY341756"
"87","","","","","","","","","","","","","","",""
"88","FJ151052","FJ151052","","","","","","","","","","","","",""
"89","","","","","","","","","","","","","","",""
"90","FJ151103","FJ151103","KC180101","","","DQ284408","","","","","","DQ284030","","","DQ283023"
"91","FJ151157","FJ151156","","","","","","","","","","","","",""
"92","","","","","","","","","","","","","","",""
"93","","","","","","","","","","","","","","",""
"94","","","","","","","","","","","","","","",""
"95","FJ151072","FJ151072","","","","","","","","","","","","",""
"96","","","","","","","","","","","","","","",""
"97","DQ022310","DQ022345","","","","","","","","","","","","",""
"98","DQ283176","DQ283176","","","","DQ284213","","","","","","DQ283868","DQ282726","",""
"99","FJ151122","AF124110","","","","DQ284132","","JX564856","JX564856","","","DQ283982","","","DQ282978"
"100","FJ151149","FJ151149","","","","","","","","","","","","",""
"101","FJ151146","JQ711165","","","","","","","","","","","","",""
"102","","","","","","","","","","","","","","",""
"103","FJ151115","FJ151115","","","","","","","","","","","","",""
"104","FJ151137","FJ151137","","","","","","","","","","","","",""
"105","FJ151135","FJ151134","","","","","","","","","","","","",""
"106","FJ151136","FJ151136","","","","","","","","","","","","",""
"107","","","","","","","","","","","","","","",""
"108","","","","","","","","","","","","","","",""
"109","FJ151071","FJ151071","","","","","","","","","","","","",""
"110","DQ022309","AY341691","","","AY341735","","","","","","","AY341810","","","AY341754"
"111","","","","","","","","","","","","","","",""
"112","","JQ582774","","","","","","","","","","","","",""
"113","","","","","","","","","","","","","","",""
"114","","","","","","","","","","","","","","",""
"115","","","","","","","","","","","","","","",""
"116","","JQ582769","","","","","","","","","","","","",""
"117","","","","","","","","","","","","","","",""
"118","","","","","","","","","","","","","","",""
"119","","","","","","","","","","","","","","",""
"120","DQ283349","AF124108","","","AF215490","DQ284340","","","","","","DQ283976","DQ282826","","DQ282974"
"121","","","","","","","","","","","","","","",""
"122","","KC540763","","","","","","","","","","","","",""
"123","DQ283364","DQ283364","","","","DQ284351","","","","","","DQ283986","","","DQ282980"
"124","","","","","","","","","","","","","","",""
"125","","","","","","","","","","","","","","",""
"126","","","","","","","","","","","","","","",""
"127","","","","","","","","","","","","","","",""
"128","","","","","","","","","","","","","","",""
"129","","","","","","","","","","","","","","",""
"130","","","","","","","","","","","","","","",""
"131","","KC540766","","","","","","","","","","","","",""
"132","","","","","","","","","","","","","","",""
"133","","","","","","","","","","","","","","",""
"134","","","","","","","","","","","","","","",""
"135","","","","","","","","","","","","","","",""
